epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,579.535,0.81855,0.45301,0.88205,0.99781,0.99684,0.99362,0.76629,0.85418,0.39925,0.87967,0.00038375,0.00038375,0.00038375
72,588.129,0.80444,0.43553,0.87554,0.99778,0.99674,0.99372,0.76224,0.89041,0.4017,0.88312,0.000371375,0.000371375,0.000371375
73,596.09,0.81133,0.43929,0.8887,0.99842,0.99656,0.99374,0.7697,0.84979,0.38915,0.879,0.000359,0.000359,0.000359
74,603.699,0.79113,0.43046,0.87591,0.99812,0.99658,0.99384,0.76769,0.84557,0.38696,0.88007,0.000346625,0.000346625,0.000346625
75,612.119,0.79205,0.42465,0.87716,0.99783,0.99633,0.9937,0.7644,0.86624,0.38971,0.87722,0.00033425,0.00033425,0.00033425
76,619.498,0.79352,0.42403,0.88442,0.99827,0.99684,0.99315,0.75967,0.85499,0.38823,0.88405,0.000321875,0.000321875,0.000321875
77,628.023,0.80408,0.43929,0.88431,0.99834,0.99684,0.99321,0.76309,0.86021,0.39543,0.88601,0.0003095,0.0003095,0.0003095
78,636.313,0.79179,0.43154,0.87468,0.99807,0.99684,0.99356,0.76216,0.86064,0.39835,0.88322,0.000297125,0.000297125,0.000297125
79,643.878,0.79874,0.42207,0.88365,0.99615,0.99684,0.99401,0.76107,0.85175,0.38434,0.88394,0.00028475,0.00028475,0.00028475
80,652.606,0.79761,0.41644,0.88257,0.99782,0.99684,0.99354,0.75213,0.87153,0.38648,0.88538,0.000272375,0.000272375,0.000272375
81,660.005,0.79464,0.42168,0.88594,0.99807,0.99684,0.99356,0.77001,0.83086,0.38564,0.87751,0.00026,0.00026,0.00026
82,668.821,0.78598,0.4216,0.88124,0.9979,0.99684,0.99365,0.75869,0.8759,0.39175,0.88124,0.000247625,0.000247625,0.000247625
83,677.411,0.77978,0.41662,0.87313,0.99831,0.99684,0.99377,0.77426,0.82622,0.37633,0.87712,0.00023525,0.00023525,0.00023525
84,684.576,0.77664,0.41188,0.88064,0.99794,0.9964,0.9939,0.76372,0.84327,0.37677,0.87707,0.000222875,0.000222875,0.000222875
85,693.043,0.76333,0.4003,0.87817,0.99869,0.99647,0.99374,0.76429,0.8428,0.37357,0.8798,0.0002105,0.0002105,0.0002105
86,700.688,0.78016,0.41075,0.87482,0.99846,0.99684,0.99371,0.76948,0.83615,0.37534,0.87706,0.000198125,0.000198125,0.000198125
87,708.362,0.75934,0.40023,0.86979,0.99847,0.99684,0.99383,0.7709,0.8337,0.37117,0.88096,0.00018575,0.00018575,0.00018575
88,716.69,0.75943,0.40495,0.86539,0.99851,0.99653,0.99395,0.77851,0.83242,0.36971,0.87584,0.000173375,0.000173375,0.000173375
89,723.811,0.77006,0.40639,0.87393,0.99834,0.99684,0.9939,0.782,0.80679,0.36545,0.87261,0.000161,0.000161,0.000161
90,732.236,0.7721,0.40592,0.87262,0.99775,0.99684,0.99373,0.77441,0.83282,0.36318,0.87565,0.000148625,0.000148625,0.000148625
91,742.556,0.76782,0.38585,0.88082,0.99761,0.99684,0.99346,0.76905,0.83175,0.37687,0.872,0.00013625,0.00013625,0.00013625
92,749.776,0.77777,0.39244,0.87204,0.99813,0.99684,0.99317,0.76813,0.82839,0.3718,0.87271,0.000123875,0.000123875,0.000123875
93,758.082,0.77472,0.39276,0.87751,0.99809,0.99684,0.99332,0.76961,0.82682,0.36744,0.87463,0.0001115,0.0001115,0.0001115
94,765.309,0.78146,0.39468,0.87142,0.99788,0.99684,0.99341,0.76483,0.84417,0.37952,0.87643,9.9125e-05,9.9125e-05,9.9125e-05
95,773.346,0.77182,0.38952,0.87199,0.99809,0.99684,0.99321,0.76092,0.85767,0.38283,0.8761,8.675e-05,8.675e-05,8.675e-05
96,781.606,0.76793,0.38995,0.86875,0.99796,0.99684,0.99334,0.7724,0.83884,0.37562,0.87429,7.4375e-05,7.4375e-05,7.4375e-05
97,788.502,0.75595,0.38769,0.87354,0.99805,0.99684,0.99346,0.77399,0.82191,0.3672,0.87221,6.2e-05,6.2e-05,6.2e-05
98,796.678,0.7568,0.38316,0.87475,0.99802,0.99684,0.99351,0.77036,0.83397,0.36699,0.87366,4.9625e-05,4.9625e-05,4.9625e-05
99,803.557,0.76989,0.38357,0.88106,0.99821,0.99684,0.99357,0.76925,0.83265,0.36523,0.87291,3.725e-05,3.725e-05,3.725e-05
100,811.834,0.74818,0.37642,0.87114,0.99819,0.99684,0.99355,0.77428,0.82799,0.36279,0.87268,2.4875e-05,2.4875e-05,2.4875e-05
